epoch,train_loss,train_acc,test_loss,test_acc
1,0.2019431362748146,0.93845,0.04291751018948853,0.985
2,0.06424110769033432,0.98105,0.032998592356487645,0.9888
3,0.047708686481416226,0.9856,0.024382892667432314,0.9917
4,0.04001496429691712,0.9879,0.027404382421373157,0.991
5,0.033068376166497666,0.9896166666666667,0.02250799427767197,0.9927
6,0.0302675536946704,0.9898833333333333,0.02247273784855988,0.9921
7,0.0256566747525086,0.99215,0.025681131295247177,0.9921
8,0.024075068166231117,0.9920166666666667,0.020047543819000566,0.9932
9,0.02001769751875351,0.9936833333333334,0.02108262366396302,0.994
10,0.019996528087804714,0.99355,0.02191522796086865,0.9934
