epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,0.4245600591480732,0.38910643067359924,0.3872556465625763,0.8031625,0.8234125,0.82485625
2,0.3700125459492207,0.37770394024848936,0.3746546012401581,0.8337640625,0.83011875,0.8321125
3,0.34609185690879823,0.37578550443649295,0.37310993180274965,0.846384375,0.83165,0.833175
4,0.32506208523511887,0.38051531739234923,0.3780455444335937,0.85713359375,0.83153125,0.8328875
5,0.3043712356835604,0.38803775186538697,0.38646447200775147,0.86762265625,0.831375,0.831925
6,0.2842291535407305,0.3967616101741791,0.39508111128807066,0.8778,0.8290875,0.8308875
7,0.2644183413118124,0.4214709732532501,0.4186241909980774,0.8873875,0.82684375,0.8275125
8,0.2460446194112301,0.4346081617355347,0.4321433921337128,0.89627578125,0.8253875,0.82696875
9,0.22957692258358,0.4571977268218994,0.45306832509040834,0.9043953125,0.8217875,0.82386875
10,0.2154573501750827,0.47505526099205014,0.46975213236808777,0.9108375,0.8209625,0.8228
