epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,0.4441836715877056,0.41967011160850526,0.4177518075466156,0.791865625,0.80735625,0.8089875
2,0.4045502322137356,0.4006434156417847,0.39870692982673644,0.8154625,0.817375,0.81816875
3,0.3861076199889183,0.39271946692466736,0.3916487784385681,0.82527421875,0.8218125,0.82219375
4,0.3748508993566036,0.3939550027370453,0.3918585901737213,0.83125234375,0.82153125,0.82230625
5,0.3664768136322498,0.38953422012329103,0.3875770785808563,0.83579453125,0.8244375,0.82521875
6,0.35895180670022964,0.38976636443138124,0.3881506172180176,0.839728125,0.82455,0.8253375
7,0.3517721414297819,0.39238415112495423,0.3898932085990906,0.843346875,0.82445,0.8251125
8,0.34453863130509854,0.39882833671569823,0.39688282651901247,0.84691796875,0.82430625,0.82545
9,0.33721602594852446,0.3986413969039917,0.3968904567718506,0.850721875,0.82419375,0.824875
10,0.32996016022264957,0.40574273772239683,0.40350981965065,0.8542578125,0.822625,0.82405625
