epoch,train_loss,val_loss,test_loss,train_acc,val_acc,test_acc
1,0.45791941301822664,0.420624559211731,0.4201194260597229,0.78270546875,0.80686875,0.8057625
2,0.40337154982089996,0.39862452630996703,0.39772366428375244,0.8156796875,0.8189625,0.81991875
3,0.3870867542505264,0.39067621607780456,0.38894003171920777,0.82434921875,0.822475,0.82445
4,0.3767401293039322,0.3868248223304748,0.385132128238678,0.83000078125,0.82551875,0.827225
5,0.36897857874631884,0.38212818298339846,0.37975863451957703,0.83401484375,0.82720625,0.82966875
6,0.36260369958877564,0.37999744453430173,0.37783473091125486,0.83770390625,0.82901875,0.83085
7,0.3567369426250458,0.3788835382461548,0.3769434989929199,0.8408484375,0.829175,0.83
8,0.3512982063293457,0.3781424175262451,0.37590570969581605,0.8435703125,0.83055,0.83296875
9,0.3461577570438385,0.37849986720085144,0.3757416612148285,0.84623359375,0.83006875,0.8323625
10,0.34119864225387575,0.3772320417881012,0.37468809418678284,0.84903203125,0.83090625,0.83219375
11,0.3361914721608162,0.37900813426971436,0.3762734230518341,0.8517,0.83164375,0.83265
12,0.3315974791049957,0.3789849023342133,0.37620706057548525,0.85429296875,0.831925,0.8337
